profileName,review/summary,review/score
"Jim of Oz ""jim-of-oz""",Nice collection of Julie Strain images,4.0
Kevin Killian,Really Enjoyed It,5.0
John Granger,Essential for every personal and Public Library,5.0
"Roy E. Perry ""amateur philosopher""",Phlip Nel gives silly Seuss a serious treatment,4.0
"D. H. Richards ""ninthwavestore""",Good academic overview,4.0
Malvin,One of America's greatest creative talents,4.0
Midwest Book Review,A memorably excellent survey of Dr. Seuss' many achievements,5.0
J. Squire,Academia At It's Best,5.0
"J. P. HIGBED ""big fellow""",And to think that I read it on the tram!,5.0
Donald Burnside,Fascinating account of a genius at work,4.0
Rev. Pamela Tinnin,Outstanding Resource for Small Church Pastors,5.0
Dr. Terry W. Dorsett,Small Churches CAN Have Wonderful Worship,5.0
"Cynthia L. Lajoy ""Cindy La Joy""",Not Just for Pastors!,5.0
Maxwell Grant,Small church pastor? This is the book on worship,5.0
Book Reader,not good,1.0
V. Powell,Here is my opinion,4.0
"LoveToRead ""Actually Read Books""",Buyer beware,1.0
Clara,Fall on your knee's,5.0
Tonya,Bravo Veronica,5.0
"missyLou ""apple""",Wonderful,5.0
julee glee,Awesome !,5.0
Vanna,Glorious story,5.0
Read-Aholic,Loved it !!,5.0
Karisa,Five stars it not enough,5.0
darby,A FIVE STAR BOOK,5.0
"Barbara Steinbach ""A True Fan""",Whispers of the Wicked Saints,5.0
"jaylynn Roberts ""jaylynn roberts""","Errors, but great story",4.0
C. Robertson,The Worst!,1.0
carrie,The truth about WOTWS,5.0
nessy,How could someone not love this ??,5.0
"Rebecca Lover ""Becky""","Luscious, hot forbidden love.!",5.0
Macy Lynn,The best book I have ever read !,5.0
pen delta,Great book,4.0
J. serratos,The best book I've read in years !!,5.0
Victoria,"Wonderful, wonderful book !!",4.0
Sophie,Great Read,5.0
S. Steinbach,Couldn't put this book down!,5.0
PW,Oh please,1.0
N. Ray,Awful beyond belief!,1.0
"denpq ""A READER""",You've got to hand it to the author...,1.0
"Fran ""Avid reader""",You've got to be kidding!,1.0
Bronx Girl,Don't try to fool us with fake reviews.,1.0
Mary J. Daniels,Whispers of the Wicked Saints,4.0
Tori,Spectacular !,5.0
kassie,You have to read this book,5.0
travelling librarian,awful beyond belief,1.0
Pink Noodle,interplay of traditions across Caribbean,5.0
Christopher J. Bray,Ecclesiological Milestone,5.0
haskell,Early Christian development of the Church,5.0
GodsBreath.wordpress,An Excellent Presentation of the Beliefs of the Mainsteam chuches of Christ,4.0
Edward E. Howe,Christ is Lord,4.0
lisamac,Overbury,3.0
Vinny Wolf,meaty and fast,5.0
Shirleyann Costigan,Surprisingly delightful,4.0
"porsche driver ""porsche driver""",A walk in the woods,5.0
,Review from the Publisher,5.0
"Nov 10 ""Tom""",A miracle on every page!,4.0
,Wardell's book is a pure delight.,4.0
,A fascinating insight into the life of modern Japanese teens,5.0
Michael Valdivielso,Almost a day by day view,4.0
Lyta,Excellent,5.0
Alyssa A. Lappen,Oh dear,2.0
"Joy Higgins ""Wordweaver""",Fun to read and easy to understand,5.0
Richard Hierro,A must have,5.0
David I. Salter,Thoroughly Confusing,2.0
Tim Rohde,Practical Guide to a Complicated Process,5.0
"Jeffery Cotton ""Jeffery Cotton""","Even as a fiction writer, I found this book invaluable",5.0
Alicia Butcher Ehrhardt,Good structure makes good bones for story,5.0
joanne flowers,LUV IT,5.0
Thomas Eno,Armando is Great,5.0
"jaidi ""jaidi""",Finally the investment pays off...!,5.0
